OrderItemID,OrderID,ProductID,Quantity,PricePerUnit,CustomerID,OrderDate,TotalAmount,ProductName,Category,Returns,CampaignID,CampaignName,Revenue,ReturnRate
ITEM-12,ORD-50005,PROD-132,1,5928.59,CUST-1131,2023-01-21,39054.08,Whey Protein,Beauty & Health,0.0,,,5928.59,0.0
ITEM-13,ORD-50005,PROD-127,1,8800.38,CUST-1131,2023-01-21,39054.08,Camping Tent,Sports & Outdoors,0.0,,,8800.38,0.0
ITEM-14,ORD-50006,PROD-117,1,8108.37,CUST-1716,2024-11-29,17641.29,Robot Vacuum,Home & Kitchen,0.0,,,8108.37,0.0
ITEM-15,ORD-50006,PROD-111,3,3177.64,CUST-1716,2024-11-29,17641.29,Summer Dress,Apparel,0.0,,,9532.92,0.0
ITEM-16,ORD-50007,PROD-131,3,7685.52,CUST-1206,2024-08-25,23056.56,Sunscreen SPF 50,Beauty & Health,0.0,,,23056.56,0.0
ITEM-17,ORD-50008,PROD-128,1,8720.82,CUST-1413,2023-03-30,49991.58,Hiking Backpack,Sports & Outdoors,0.0,CAMP-218,End of Season Sale,8720.82,0.0
ITEM-18,ORD-50008,PROD-133,2,7246.8,CUST-1413,2023-03-30,49991.58,Organic Shampoo,Beauty & Health,0.0,CAMP-218,End of Season Sale,14493.6,0.0
ITEM-19,ORD-50008,PROD-120,2,3535.19,CUST-1413,2023-03-30,49991.58,Sapiens,Books,0.0,CAMP-218,End of Season Sale,7070.38,0.0
ITEM-20,ORD-50008,PROD-122,2,9853.39,CUST-1413,2023-03-30,49991.58,Ikigai,Books,0.0,CAMP-218,End of Season Sale,19706.78,0.0
ITEM-21,ORD-50009,PROD-121,1,4434.34,CUST-1241,2023-06-11,29336.54,Atomic Habits,Books,0.0,CAMP-201,Summer Sale,4434.34,0.0
ITEM-22,ORD-50009,PROD-134,3,6930.74,CUST-1241,2023-06-11,29336.54,Electric Toothbrush,Beauty & Health,0.0,CAMP-201,Summer Sale,20792.22,0.0
ITEM-23,ORD-50009,PROD-124,1,4109.98,CUST-1241,2023-06-11,29336.54,A Man Called Ove,Books,0.0,CAMP-201,Summer Sale,4109.98,0.0
ITEM-24,ORD-50010,PROD-121,1,4434.34,CUST-1633,2023-05-03,4434.34,Atomic Habits,Books,0.0,,,4434.34,0.0
ITEM-25,ORD-50011,PROD-122,3,9853.39,CUST-1482,2023-10-21,53223.67,Ikigai,Books,0.0,CAMP-220,New Year Blast,29560.17,0.0
ITEM-26,ORD-50011,PROD-131,1,7685.52,CUST-1482,2023-10-21,53223.67,Sunscreen SPF 50,Beauty & Health,0.0,CAMP-220,New Year Blast,7685.52,0.0
ITEM-27,ORD-50011,PROD-104,2,3377.71,CUST-1482,2023-10-21,53223.67,Smartwatch,Electronics,0.0,CAMP-220,New Year Blast,6755.42,0.0
ITEM-28,ORD-50011,PROD-107,2,4611.28,CUST-1482,2023-10-21,53223.67,Men's T-Shirt,Apparel,0.0,CAMP-220,New Year Blast,9222.56,0.0
ITEM-29,ORD-50012,PROD-107,2,4611.28,CUST-1385,2023-03-11,54134.14,Men's T-Shirt,Apparel,0.0,CAMP-219,Flash Friday,9222.56,0.0
ITEM-29,ORD-50012,PROD-107,2,4611.28,CUST-1385,2023-03-11,54134.14,Men's T-Shirt,Apparel,0.0,CAMP-219,Flash Friday,9222.56,0.0
ITEM-30,ORD-50012,PROD-102,1,1234.31,CUST-1385,2023-03-11,54134.14,Laptop,Electronics,0.0,CAMP-219,Flash Friday,1234.31,0.0
ITEM-30,ORD-50012,PROD-102,1,1234.31,CUST-1385,2023-03-11,54134.14,Laptop,Electronics,0.0,CAMP-219,Flash Friday,1234.31,0.0
ITEM-31,ORD-50012,PROD-112,3,6450.72,CUST-1385,2023-03-11,54134.14,Leather Jacket,Apparel,0.0,CAMP-219,Flash Friday,19352.16,0.0
ITEM-31,ORD-50012,PROD-112,3,6450.72,CUST-1385,2023-03-11,54134.14,Leather Jacket,Apparel,0.0,CAMP-219,Flash Friday,19352.16,0.0
ITEM-32,ORD-50012,PROD-117,3,8108.37,CUST-1385,2023-03-11,54134.14,Robot Vacuum,Home & Kitchen,0.0,CAMP-219,Flash Friday,24325.11,0.0
ITEM-32,ORD-50012,PROD-117,3,8108.37,CUST-1385,2023-03-11,54134.14,Robot Vacuum,Home & Kitchen,0.0,CAMP-219,Flash Friday,24325.11,0.0
ITEM-33,ORD-50013,PROD-119,1,1011.19,CUST-1381,2024-07-09,53654.35,The Alchemist,Books,0.0,CAMP-209,New Year Blast,1011.19,0.0
ITEM-34,ORD-50013,PROD-127,1,8800.38,CUST-1381,2024-07-09,53654.35,Camping Tent,Sports & Outdoors,0.0,CAMP-209,New Year Blast,8800.38,0.0
ITEM-35,ORD-50013,PROD-127,3,8800.38,CUST-1381,2024-07-09,53654.35,Camping Tent,Sports & Outdoors,0.0,CAMP-209,New Year Blast,26401.14,0.0
ITEM-36,ORD-50013,PROD-128,2,8720.82,CUST-1381,2024-07-09,53654.35,Hiking Backpack,Sports & Outdoors,0.0,CAMP-209,New Year Blast,17441.64,0.0
ITEM-37,ORD-50014,PROD-103,3,4460.68,CUST-1209,2023-10-16,35999.88,Wireless Headphones,Electronics,0.0,,,13382.04,0.0
ITEM-38,ORD-50014,PROD-133,1,7246.8,CUST-1209,2023-10-16,35999.88,Organic Shampoo,Beauty & Health,0.0,,,7246.8,0.0
ITEM-39,ORD-50014,PROD-131,2,7685.52,CUST-1209,2023-10-16,35999.88,Sunscreen SPF 50,Beauty & Health,0.0,,,15371.04,0.0
ITEM-40,ORD-50015,PROD-134,3,6930.74,CUST-1054,2023-11-21,50898.83,Electric Toothbrush,Beauty & Health,0.0,,,20792.22,0.0
ITEM-41,ORD-50015,PROD-128,2,8720.82,CUST-1054,2023-11-21,50898.83,Hiking Backpack,Sports & Outdoors,0.0,,,17441.64,0.0
ITEM-42,ORD-50015,PROD-109,1,3132.05,CUST-1054,2023-11-21,50898.83,Running Shoes,Apparel,0.0,,,3132.05,0.0
ITEM-43,ORD-50015,PROD-111,3,3177.64,CUST-1054,2023-11-21,50898.83,Summer Dress,Apparel,0.0,,,9532.92,0.0
ITEM-44,ORD-50016,PROD-124,2,4109.98,CUST-1377,2025-12-01,41525.81,A Man Called Ove,Books,0.0,CAMP-213,Flash Friday,8219.96,0.0
ITEM-44,ORD-50016,PROD-124,2,4109.98,CUST-1377,2025-12-01,41525.81,A Man Called Ove,Books,0.0,CAMP-204,New Year Blast,8219.96,0.0
ITEM-44,ORD-50016,PROD-124,2,4109.98,CUST-1377,2025-12-01,41525.81,A Man Called Ove,Books,0.0,CAMP-204,New Year Blast,8219.96,0.0
ITEM-44,ORD-50016,PROD-124,2,4109.98,CUST-1377,2025-12-01,41525.81,A Man Called Ove,Books,0.0,CAMP-202,End of Season Sale,8219.96,0.0
ITEM-44,ORD-50016,PROD-124,2,4109.98,CUST-1377,2025-12-01,41525.81,A Man Called Ove,Books,0.0,CAMP-213,Flash Friday,8219.96,0.0
ITEM-45,ORD-50016,PROD-106,3,936.42,CUST-1377,2025-12-01,41525.81,Bluetooth Speaker,Electronics,0.0,CAMP-213,Flash Friday,2809.2599999999998,0.0
ITEM-45,ORD-50016,PROD-106,3,936.42,CUST-1377,2025-12-01,41525.81,Bluetooth Speaker,Electronics,0.0,CAMP-204,New Year Blast,2809.2599999999998,0.0
ITEM-45,ORD-50016,PROD-106,3,936.42,CUST-1377,2025-12-01,41525.81,Bluetooth Speaker,Electronics,0.0,CAMP-204,New Year Blast,2809.2599999999998,0.0
ITEM-45,ORD-50016,PROD-106,3,936.42,CUST-1377,2025-12-01,41525.81,Bluetooth Speaker,Electronics,0.0,CAMP-202,End of Season Sale,2809.2599999999998,0.0
ITEM-45,ORD-50016,PROD-106,3,936.42,CUST-1377,2025-12-01,41525.81,Bluetooth Speaker,Electronics,0.0,CAMP-213,Flash Friday,2809.2599999999998,0.0
ITEM-46,ORD-50016,PROD-122,3,9853.39,CUST-1377,2025-12-01,41525.81,Ikigai,Books,0.0,CAMP-213,Flash Friday,29560.17,0.0
ITEM-46,ORD-50016,PROD-122,3,9853.39,CUST-1377,2025-12-01,41525.81,Ikigai,Books,0.0,CAMP-204,New Year Blast,29560.17,0.0
ITEM-46,ORD-50016,PROD-122,3,9853.39,CUST-1377,2025-12-01,41525.81,Ikigai,Books,0.0,CAMP-204,New Year Blast,29560.17,0.0
ITEM-46,ORD-50016,PROD-122,3,9853.39,CUST-1377,2025-12-01,41525.81,Ikigai,Books,0.0,CAMP-202,End of Season Sale,29560.17,0.0
ITEM-46,ORD-50016,PROD-122,3,9853.39,CUST-1377,2025-12-01,41525.81,Ikigai,Books,0.0,CAMP-213,Flash Friday,29560.17,0.0
ITEM-47,ORD-50016,PROD-106,1,936.42,CUST-1377,2025-12-01,41525.81,Bluetooth Speaker,Electronics,0.0,CAMP-213,Flash Friday,936.42,0.0
ITEM-47,ORD-50016,PROD-106,1,936.42,CUST-1377,2025-12-01,41525.81,Bluetooth Speaker,Electronics,0.0,CAMP-204,New Year Blast,936.42,0.0
ITEM-47,ORD-50016,PROD-106,1,936.42,CUST-1377,2025-12-01,41525.81,Bluetooth Speaker,Electronics,0.0,CAMP-204,New Year Blast,936.42,0.0
ITEM-47,ORD-50016,PROD-106,1,936.42,CUST-1377,2025-12-01,41525.81,Bluetooth Speaker,Electronics,0.0,CAMP-202,End of Season Sale,936.42,0.0
ITEM-47,ORD-50016,PROD-106,1,936.42,CUST-1377,2025-12-01,41525.81,Bluetooth Speaker,Electronics,0.0,CAMP-213,Flash Friday,936.42,0.0
ITEM-48,ORD-50017,PROD-104,2,3377.71,CUST-1631,2023-10-26,6755.42,Smartwatch,Electronics,0.0,CAMP-218,End of Season Sale,6755.42,0.0
ITEM-48,ORD-50017,PROD-104,2,3377.71,CUST-1631,2023-10-26,6755.42,Smartwatch,Electronics,0.0,CAMP-208,Diwali Bonanza,6755.42,0.0
ITEM-49,ORD-50018,PROD-128,1,8720.82,CUST-1535,2024-12-21,8720.82,Hiking Backpack,Sports & Outdoors,0.0,,,8720.82,0.0
ITEM-50,ORD-50019,PROD-122,3,9853.39,CUST-1747,2025-12-14,29560.17,Ikigai,Books,0.0,CAMP-216,End of Season Sale,29560.17,0.0
ITEM-51,ORD-50020,PROD-110,3,9584.97,CUST-1617,2024-01-12,53080.02,Formal Shirt,Apparel,0.0,CAMP-217,Summer Sale,28754.909999999996,0.0
ITEM-52,ORD-50020,PROD-117,3,8108.37,CUST-1617,2024-01-12,53080.02,Robot Vacuum,Home & Kitchen,0.0,CAMP-217,Summer Sale,24325.11,0.0
ITEM-53,ORD-50021,PROD-103,1,4460.68,CUST-1767,2023-05-28,56887.18,Wireless Headphones,Electronics,0.0,CAMP-207,New Year Blast,4460.68,0.0
ITEM-54,ORD-50021,PROD-131,2,7685.52,CUST-1767,2023-05-28,56887.18,Sunscreen SPF 50,Beauty & Health,0.0,CAMP-207,New Year Blast,15371.04,0.0
ITEM-55,ORD-50021,PROD-111,3,3177.64,CUST-1767,2023-05-28,56887.18,Summer Dress,Apparel,0.0,CAMP-207,New Year Blast,9532.92,0.0
ITEM-56,ORD-50021,PROD-118,3,9174.18,CUST-1767,2023-05-28,56887.18,Coffee Maker,Home & Kitchen,0.0,CAMP-207,New Year Blast,27522.54,0.0
ITEM-57,ORD-50022,PROD-131,2,7685.52,CUST-1774,2024-05-29,18748.75,Sunscreen SPF 50,Beauty & Health,0.0,CAMP-219,Flash Friday,15371.04,0.0
ITEM-57,ORD-50022,PROD-131,2,7685.52,CUST-1774,2024-05-29,18748.75,Sunscreen SPF 50,Beauty & Health,0.0,CAMP-203,Diwali Bonanza,15371.04,0.0
ITEM-58,ORD-50022,PROD-104,1,3377.71,CUST-1774,2024-05-29,18748.75,Smartwatch,Electronics,0.0,CAMP-219,Flash Friday,3377.71,0.0
ITEM-58,ORD-50022,PROD-104,1,3377.71,CUST-1774,2024-05-29,18748.75,Smartwatch,Electronics,0.0,CAMP-203,Diwali Bonanza,3377.71,0.0
ITEM-59,ORD-50023,PROD-101,3,5356.77,CUST-1426,2025-10-10,16070.31,Smartphone,Electronics,0.0,CAMP-218,End of Season Sale,16070.310000000001,0.0
ITEM-60,ORD-50024,PROD-109,1,3132.05,CUST-1375,2023-08-27,21635.14,Running Shoes,Apparel,0.0,,,3132.05,0.0
ITEM-61,ORD-50024,PROD-131,2,7685.52,CUST-1375,2023-08-27,21635.14,Sunscreen SPF 50,Beauty & Health,0.0,,,15371.04,0.0
ITEM-62,ORD-50024,PROD-109,1,3132.05,CUST-1375,2023-08-27,21635.14,Running Shoes,Apparel,0.0,,,3132.05,0.0
ITEM-63,ORD-50025,PROD-117,2,8108.37,CUST-1724,2024-02-11,42172.57,Robot Vacuum,Home & Kitchen,0.0,CAMP-207,New Year Blast,16216.74,0.0
ITEM-63,ORD-50025,PROD-117,2,8108.37,CUST-1724,2024-02-11,42172.57,Robot Vacuum,Home & Kitchen,0.0,CAMP-210,Flash Friday,16216.74,0.0
ITEM-63,ORD-50025,PROD-117,2,8108.37,CUST-1724,2024-02-11,42172.57,Robot Vacuum,Home & Kitchen,0.0,CAMP-207,New Year Blast,16216.74,0.0
ITEM-64,ORD-50025,PROD-103,3,4460.68,CUST-1724,2024-02-11,42172.57,Wireless Headphones,Electronics,0.0,CAMP-207,New Year Blast,13382.04,0.0
ITEM-64,ORD-50025,PROD-103,3,4460.68,CUST-1724,2024-02-11,42172.57,Wireless Headphones,Electronics,0.0,CAMP-210,Flash Friday,13382.04,0.0
ITEM-64,ORD-50025,PROD-103,3,4460.68,CUST-1724,2024-02-11,42172.57,Wireless Headphones,Electronics,0.0,CAMP-207,New Year Blast,13382.04,0.0
ITEM-65,ORD-50025,PROD-111,1,3177.64,CUST-1724,2024-02-11,42172.57,Summer Dress,Apparel,0.0,CAMP-207,New Year Blast,3177.64,0.0
ITEM-65,ORD-50025,PROD-111,1,3177.64,CUST-1724,2024-02-11,42172.57,Summer Dress,Apparel,0.0,CAMP-210,Flash Friday,3177.64,0.0
ITEM-65,ORD-50025,PROD-111,1,3177.64,CUST-1724,2024-02-11,42172.57,Summer Dress,Apparel,0.0,CAMP-207,New Year Blast,3177.64,0.0
ITEM-66,ORD-50025,PROD-109,3,3132.05,CUST-1724,2024-02-11,42172.57,Running Shoes,Apparel,0.0,CAMP-207,New Year Blast,9396.150000000001,0.0
ITEM-66,ORD-50025,PROD-109,3,3132.05,CUST-1724,2024-02-11,42172.57,Running Shoes,Apparel,0.0,CAMP-210,Flash Friday,9396.150000000001,0.0
ITEM-66,ORD-50025,PROD-109,3,3132.05,CUST-1724,2024-02-11,42172.57,Running Shoes,Apparel,0.0,CAMP-207,New Year Blast,9396.150000000001,0.0
ITEM-67,ORD-50026,PROD-103,1,4460.68,CUST-1191,2023-05-29,29704.84,Wireless Headphones,Electronics,0.0,,,4460.68,0.0
ITEM-68,ORD-50026,PROD-128,1,8720.82,CUST-1191,2023-05-29,29704.84,Hiking Backpack,Sports & Outdoors,0.0,,,8720.82,0.0
ITEM-69,ORD-50026,PROD-113,2,1352.91,CUST-1191,2023-05-29,29704.84,Non-Stick Pan,Home & Kitchen,0.0,,,2705.82,0.0
ITEM-70,ORD-50026,PROD-130,3,4605.84,CUST-1191,2023-05-29,29704.84,Vitamin C Serum,Beauty & Health,0.0,,,13817.52,0.0
ITEM-71,ORD-50027,PROD-120,3,3535.19,CUST-1245,2023-11-08,28430.54,Sapiens,Books,0.0,CAMP-211,Diwali Bonanza,10605.57,0.0
ITEM-72,ORD-50027,PROD-106,1,936.42,CUST-1245,2023-11-08,28430.54,Bluetooth Speaker,Electronics,0.0,CAMP-211,Diwali Bonanza,936.42,0.0
ITEM-73,ORD-50027,PROD-104,2,3377.71,CUST-1245,2023-11-08,28430.54,Smartwatch,Electronics,0.0,CAMP-211,Diwali Bonanza,6755.42,0.0
ITEM-74,ORD-50027,PROD-104,3,3377.71,CUST-1245,2023-11-08,28430.54,Smartwatch,Electronics,0.0,CAMP-211,Diwali Bonanza,10133.130000000001,0.0
ITEM-75,ORD-50028,PROD-125,3,1421.21,CUST-1425,2025-04-28,16576.37,Yoga Mat,Sports & Outdoors,0.0,CAMP-206,Diwali Bonanza,4263.63,0.0
ITEM-75,ORD-50028,PROD-125,3,1421.21,CUST-1425,2025-04-28,16576.37,Yoga Mat,Sports & Outdoors,0.0,CAMP-206,Diwali Bonanza,4263.63,0.0
ITEM-76,ORD-50028,PROD-127,1,8800.38,CUST-1425,2025-04-28,16576.37,Camping Tent,Sports & Outdoors,0.0,CAMP-206,Diwali Bonanza,8800.38,0.0
ITEM-76,ORD-50028,PROD-127,1,8800.38,CUST-1425,2025-04-28,16576.37,Camping Tent,Sports & Outdoors,0.0,CAMP-206,Diwali Bonanza,8800.38,0.0
ITEM-77,ORD-50028,PROD-114,2,819.76,CUST-1425,2025-04-28,16576.37,Blender,Home & Kitchen,0.0,CAMP-206,Diwali Bonanza,1639.52,0.0
ITEM-77,ORD-50028,PROD-114,2,819.76,CUST-1425,2025-04-28,16576.37,Blender,Home & Kitchen,0.0,CAMP-206,Diwali Bonanza,1639.52,0.0
ITEM-78,ORD-50028,PROD-106,2,936.42,CUST-1425,2025-04-28,16576.37,Bluetooth Speaker,Electronics,0.0,CAMP-206,Diwali Bonanza,1872.84,0.0
ITEM-78,ORD-50028,PROD-106,2,936.42,CUST-1425,2025-04-28,16576.37,Bluetooth Speaker,Electronics,0.0,CAMP-206,Diwali Bonanza,1872.84,0.0
ITEM-79,ORD-50029,PROD-126,3,2518.68,CUST-1710,2023-07-11,7556.04,Dumbbell Set,Sports & Outdoors,0.0,CAMP-206,Diwali Bonanza,7556.039999999999,0.0
ITEM-79,ORD-50029,PROD-126,3,2518.68,CUST-1710,2023-07-11,7556.04,Dumbbell Set,Sports & Outdoors,0.0,CAMP-211,Diwali Bonanza,7556.039999999999,0.0
ITEM-80,ORD-50030,PROD-128,1,8720.82,CUST-1055,2024-12-02,35205.73,Hiking Backpack,Sports & Outdoors,0.0,CAMP-220,New Year Blast,8720.82,0.0
ITEM-80,ORD-50030,PROD-128,1,8720.82,CUST-1055,2024-12-02,35205.73,Hiking Backpack,Sports & Outdoors,0.0,CAMP-216,End of Season Sale,8720.82,0.0
ITEM-80,ORD-50030,PROD-128,1,8720.82,CUST-1055,2024-12-02,35205.73,Hiking Backpack,Sports & Outdoors,0.0,CAMP-217,Summer Sale,8720.82,0.0
ITEM-80,ORD-50030,PROD-128,1,8720.82,CUST-1055,2024-12-02,35205.73,Hiking Backpack,Sports & Outdoors,0.0,CAMP-213,Flash Friday,8720.82,0.0
ITEM-81,ORD-50030,PROD-130,3,4605.84,CUST-1055,2024-12-02,35205.73,Vitamin C Serum,Beauty & Health,0.0,CAMP-220,New Year Blast,13817.52,0.0
ITEM-81,ORD-50030,PROD-130,3,4605.84,CUST-1055,2024-12-02,35205.73,Vitamin C Serum,Beauty & Health,0.0,CAMP-216,End of Season Sale,13817.52,0.0
ITEM-81,ORD-50030,PROD-130,3,4605.84,CUST-1055,2024-12-02,35205.73,Vitamin C Serum,Beauty & Health,0.0,CAMP-217,Summer Sale,13817.52,0.0
ITEM-81,ORD-50030,PROD-130,3,4605.84,CUST-1055,2024-12-02,35205.73,Vitamin C Serum,Beauty & Health,0.0,CAMP-213,Flash Friday,13817.52,0.0
ITEM-82,ORD-50030,PROD-102,3,1234.31,CUST-1055,2024-12-02,35205.73,Laptop,Electronics,0.0,CAMP-220,New Year Blast,3702.93,0.0
ITEM-82,ORD-50030,PROD-102,3,1234.31,CUST-1055,2024-12-02,35205.73,Laptop,Electronics,0.0,CAMP-216,End of Season Sale,3702.93,0.0
ITEM-82,ORD-50030,PROD-102,3,1234.31,CUST-1055,2024-12-02,35205.73,Laptop,Electronics,0.0,CAMP-217,Summer Sale,3702.93,0.0
ITEM-82,ORD-50030,PROD-102,3,1234.31,CUST-1055,2024-12-02,35205.73,Laptop,Electronics,0.0,CAMP-213,Flash Friday,3702.93,0.0
ITEM-83,ORD-50030,PROD-108,2,4482.23,CUST-1055,2024-12-02,35205.73,Women's Jeans,Apparel,0.0,CAMP-220,New Year Blast,8964.46,0.0
ITEM-83,ORD-50030,PROD-108,2,4482.23,CUST-1055,2024-12-02,35205.73,Women's Jeans,Apparel,0.0,CAMP-216,End of Season Sale,8964.46,0.0
ITEM-83,ORD-50030,PROD-108,2,4482.23,CUST-1055,2024-12-02,35205.73,Women's Jeans,Apparel,0.0,CAMP-217,Summer Sale,8964.46,0.0
ITEM-83,ORD-50030,PROD-108,2,4482.23,CUST-1055,2024-12-02,35205.73,Women's Jeans,Apparel,0.0,CAMP-213,Flash Friday,8964.46,0.0
ITEM-84,ORD-50031,PROD-120,1,3535.19,CUST-1323,2023-07-28,30839.63,Sapiens,Books,0.0,CAMP-218,End of Season Sale,3535.19,0.0
ITEM-85,ORD-50031,PROD-102,1,1234.31,CUST-1323,2023-07-28,30839.63,Laptop,Electronics,0.0,CAMP-218,End of Season Sale,1234.31,0.0
ITEM-86,ORD-50031,PROD-117,2,8108.37,CUST-1323,2023-07-28,30839.63,Robot Vacuum,Home & Kitchen,0.0,CAMP-218,End of Season Sale,16216.74,0.0
ITEM-87,ORD-50031,PROD-122,1,9853.39,CUST-1323,2023-07-28,30839.63,Ikigai,Books,0.0,CAMP-218,End of Season Sale,9853.39,0.0
ITEM-88,ORD-50032,PROD-117,1,8108.37,CUST-1483,2024-03-13,8108.37,Robot Vacuum,Home & Kitchen,0.0,CAMP-207,New Year Blast,8108.37,0.0
ITEM-88,ORD-50032,PROD-117,1,8108.37,CUST-1483,2024-03-13,8108.37,Robot Vacuum,Home & Kitchen,0.0,CAMP-214,Diwali Bonanza,8108.37,0.0
ITEM-89,ORD-50033,PROD-131,1,7685.52,CUST-1628,2023-01-22,21320.33,Sunscreen SPF 50,Beauty & Health,0.0,CAMP-212,End of Season Sale,7685.52,0.0
ITEM-89,ORD-50033,PROD-131,1,7685.52,CUST-1628,2023-01-22,21320.33,Sunscreen SPF 50,Beauty & Health,0.0,CAMP-203,Diwali Bonanza,7685.52,0.0
ITEM-90,ORD-50033,PROD-115,1,6078.77,CUST-1628,2023-01-22,21320.33,Air Fryer,Home & Kitchen,0.0,CAMP-212,End of Season Sale,6078.77,0.0
ITEM-90,ORD-50033,PROD-115,1,6078.77,CUST-1628,2023-01-22,21320.33,Air Fryer,Home & Kitchen,0.0,CAMP-203,Diwali Bonanza,6078.77,0.0
ITEM-91,ORD-50033,PROD-126,3,2518.68,CUST-1628,2023-01-22,21320.33,Dumbbell Set,Sports & Outdoors,0.0,CAMP-212,End of Season Sale,7556.039999999999,0.0
ITEM-91,ORD-50033,PROD-126,3,2518.68,CUST-1628,2023-01-22,21320.33,Dumbbell Set,Sports & Outdoors,0.0,CAMP-203,Diwali Bonanza,7556.039999999999,0.0
ITEM-92,ORD-50034,PROD-131,1,7685.52,CUST-1742,2024-08-03,26301.44,Sunscreen SPF 50,Beauty & Health,0.0,CAMP-210,Flash Friday,7685.52,0.0
ITEM-93,ORD-50034,PROD-111,1,3177.64,CUST-1742,2024-08-03,26301.44,Summer Dress,Apparel,0.0,CAMP-210,Flash Friday,3177.64,0.0
ITEM-94,ORD-50034,PROD-109,2,3132.05,CUST-1742,2024-08-03,26301.44,Running Shoes,Apparel,0.0,CAMP-210,Flash Friday,6264.1,0.0
ITEM-95,ORD-50034,PROD-118,1,9174.18,CUST-1742,2024-08-03,26301.44,Coffee Maker,Home & Kitchen,0.0,CAMP-210,Flash Friday,9174.18,0.0
ITEM-96,ORD-50035,PROD-108,1,4482.23,CUST-1453,2023-07-05,4482.23,Women's Jeans,Apparel,0.0,CAMP-211,Diwali Bonanza,4482.23,0.0
ITEM-97,ORD-50036,PROD-123,2,6181.23,CUST-1470,2024-09-25,21517.1,The Psychology of Money,Books,0.0,CAMP-219,Flash Friday,12362.46,0.0
ITEM-97,ORD-50036,PROD-123,2,6181.23,CUST-1470,2024-09-25,21517.1,The Psychology of Money,Books,0.0,CAMP-204,New Year Blast,12362.46,0.0
ITEM-98,ORD-50036,PROD-129,2,2988.5,CUST-1470,2024-09-25,21517.1,Cricket Bat,Sports & Outdoors,0.0,CAMP-219,Flash Friday,5977.0,0.0
ITEM-98,ORD-50036,PROD-129,2,2988.5,CUST-1470,2024-09-25,21517.1,Cricket Bat,Sports & Outdoors,0.0,CAMP-204,New Year Blast,5977.0,0.0
ITEM-99,ORD-50036,PROD-111,1,3177.64,CUST-1470,2024-09-25,21517.1,Summer Dress,Apparel,0.0,CAMP-219,Flash Friday,3177.64,0.0
ITEM-99,ORD-50036,PROD-111,1,3177.64,CUST-1470,2024-09-25,21517.1,Summer Dress,Apparel,0.0,CAMP-204,New Year Blast,3177.64,0.0
ITEM-100,ORD-50037,PROD-116,1,7467.8,CUST-1187,2024-09-27,44122.85,Cotton Bedsheet,Home & Kitchen,0.0,,,7467.8,0.0
ITEM-101,ORD-50037,PROD-117,3,8108.37,CUST-1187,2024-09-27,44122.85,Robot Vacuum,Home & Kitchen,0.0,,,24325.11,0.0
ITEM-102,ORD-50037,PROD-124,3,4109.98,CUST-1187,2024-09-27,44122.85,A Man Called Ove,Books,0.0,,,12329.939999999999,0.0
